Country|Total_cases|Active_cases|Total_Deaths|Total_Recovered|Total_Tests|Death/million|Tests/million|New_Case|New_death|New_Recovered|Continent
Afghanistan |231,940 |13,891 |7,985 |210,064 |1,363,756 |196 |33,463 |+6 |+1 |+3 |Asia 
Mozambique |233,731 |2,676 |2,250 |228,805 |1,371,127 |68 |41,437 |-|-|-|Africa 
Uzbekistan |253,662 |10,539 |1,637 |241,486 |1,377,915 |48 |40,077 |-|-|-|Asia 
Zimbabwe |266,328 |1,703 |5,737 |258,888 |2,525,756 |374 |164,744 |-|-|-|Africa 
Nigeria |267,188 |4,080 |3,155 |259,953 |5,708,974 |15 |26,339 |-|-|-|Africa 
Algeria |272,010 |82,068 |6,881 |183,061 |230,960 |152 |5,093 |-|-|-|Africa 
Montenegro |296,492 |1,852 |2,846 |291,794 |2,769,281 |4,532 |4,410,034 |-|-|-|Europe 
Botswana |330,442 |592 |2,801 |327,049 |2,026,898 |1,147 |830,300 |-|-|-|Africa 
Albania |334,863 |1,025 |3,605 |330,233 |1,941,032 |1,258 |677,173 |-|-|-|Europe 
Brunei |343,075 |99,249 |225 |243,601 |717,784 |505 |1,611,437 |-|-|-|Asia 
Kenya |344,130 |1,132 |5,689 |337,309 |3,967,062 |101 |70,569 |-|-|-|Africa 
Zambia |349,304 |3,919 |4,069 |341,316 |4,112,961 |209 |211,244 |-|-|-|Africa 
North Macedonia |350,520 |3,481 |9,971 |337,068 |2,226,216 |4,791 |1,069,626 |-|-|-|Europe 
Luxembourg |391,076 |N/A |1,232 |N/A |4,587,145 |1,918 |7,140,959 |-|-|N/A |Europe 
Oman |399,449 |N/A |4,628 |N/A |25,000,000 |869 |4,695,724 |-|-|N/A |Asia 
Bosnia and Herzegovina |403,585 |8,116 |16,385 |379,084 |1,884,721 |5,043 |580,036 |-|-|-|Europe 
Armenia |451,426 |7,488 |8,776 |435,162 |3,242,901 |2,953 |1,091,164 |-|-|-|Asia 
Honduras |474,590 |N/A |11,165 |N/A |1,660,662 |1,092 |162,472 |-|-|N/A |North America 
R&eacute union |494,595 |N/A |921 |N/A |1,603,660 |1,014 |1,766,027 |-|-|N/A |Africa 
Ethiopia |501,117 |5,372 |7,574 |488,171 |5,565,340 |63 |46,066 |-|-|-|Africa 
Libya |507,274 |2 |6,437 |500,835 |2,483,848 |914 |352,782 |-|-|-|Africa 
Qatar |514,524 |147 |690 |513,687 |4,065,369 |232 |1,364,257 |-|-|-|Asia 
Egypt |516,023 |49,228 |24,613 |442,182 |3,693,367 |232 |34,792 |-|-|-|Africa 
Venezuela |552,695 |302 |5,856 |546,537 |3,359,014 |200 |114,771 |-|-|-|South America 
Palestine |621,008 |159 |5,404 |615,445 |3,078,533 |1,011 |575,907 |-|-|-|Asia 
Estonia |627,820 |N/A |3,001 |N/A |6,944,652 |2,270 |5,253,498 |-|-|N/A |Europe 
Moldova |634,508 |N/A |12,206 |N/A |3,216,305 |3,041 |801,437 |-|-|N/A |Europe 
Myanmar |641,801 |2,147 |19,495 |620,159 |11,672,345 |353 |211,352 |+31 |-|-|Asia 
Kuwait |667,094 |N/A |2,570 |N/A |8,455,743 |587 |1,930,391 |-|-|N/A |Asia 
Sri Lanka |672,750 |1 |16,897 |655,852 |6,486,117 |783 |300,619 |-|-|-|Asia 
Dominican Republic |675,890 |190 |4,384 |671,316 |3,740,928 |397 |338,350 |-|-|-|North America 
Cyprus |681,110 |0 |1,365 |679,745 |9,640,118 |1,116 |7,879,860 |-|-|-|Asia 
Bahrain |729,549 |60 |1,574 |727,915 |10,948,549 |882 |6,137,138 |-|-|-|Asia 
Azerbaijan |834,649 |160 |10,400 |824,089 |7,748,050 |1,010 |752,223 |-|-|-|Asia 
Paraguay |837,602 |N/A |20,155 |N/A |2,657,506 |2,759 |363,751 |-|-|N/A |South America 
Saudi Arabia |841,469 |N/A |9,646 |N/A |45,481,735 |269 |1,268,848 |-|-|N/A |Asia 
Latvia |982,280 |4,188 |6,686 |971,406 |7,885,792 |3,616 |4,265,272 |-|-|-|Europe 
Belarus |994,037 |1,327 |7,118 |985,592 |13,646,641 |755 |1,446,722 |-|-|-|Europe 
Nepal |1,003,450 |97 |12,031 |991,322 |6,047,766 |398 |200,088 |-|-|-|Asia 
Mongolia |1,011,459 |0 |2,284 |1,009,175 |4,030,048 |676 |1,193,000 |-|-|-|Asia 
Uruguay |1,041,111 |2,503 |7,664 |1,030,944 |6,114,822 |2,192 |1,749,083 |-|-|-|South America 
Panama |1,059,893 |64 |8,727 |1,051,102 |7,882,622 |1,962 |1,772,585 |-|-|-|North America 
UAE |1,067,030 |N/A |2,349 |N/A |200,732,262 |233 |19,910,389 |-|-|N/A |Asia 
Ecuador |1,070,188 |0 |36,043 |1,034,145 |3,082,403 |1,990 |170,173 |-|-|-|South America 
Cuba |1,115,243 |66 |8,530 |1,106,647 |14,401,151 |754 |1,273,801 |-|-|-|North America 
Tunisia |1,153,361 |N/A |29,423 |N/A |5,013,383 |2,442 |416,164 |-|-|N/A |Africa 
Bolivia |1,211,716 |12,164 |22,407 |1,177,145 |2,710,261 |1,868 |225,993 |-|-|-|South America 
Costa Rica |1,238,883 |N/A |9,428 |N/A |4,659,757 |1,819 |899,158 |-|-|N/A |North America 
Lebanon |1,243,838 |145,299 |10,952 |1,087,587 |4,795,578 |1,638 |717,380 |-|-|-|Asia 
Morocco |1,278,944 |N/A |16,301 |N/A |13,001,033 |432 |344,191 |-|-|N/A |Africa 
Guatemala |1,288,588 |2,770 |20,285 |1,265,533 |7,593,848 |1,092 |408,622 |-|-|-|North America 
Croatia |1,309,728 |32,609 |18,687 |1,258,432 |5,660,084 |4,604 |1,394,355 |-|-|-|Europe 
Bulgaria |1,339,459 |8,083 |38,737 |1,292,639 |11,632,324 |5,660 |1,699,490 |+18 |-|+6 |Europe 
Slovenia |1,356,447 |90 |7,100 |1,349,257 |2,847,701 |3,417 |1,370,382 |+4 |-|-|Europe 
Lithuania |1,396,557 |1,320 |9,897 |1,385,340 |10,540,357 |3,718 |3,959,997 |+48 |-|+248 |Europe 
Kazakhstan |1,411,831 |14,963 |13,848 |1,383,020 |11,575,012 |721 |602,707 |-|-|-|Asia 
Norway |1,509,732 |70 |6,638 |1,503,024 |11,002,430 |1,204 |1,996,315 |-|-|-|Europe 
Finland |1,515,575 |606 |11,949 |1,503,020 |12,108,977 |2,151 |2,179,850 |-|-|+77 |Europe 
Pakistan |1,581,936 |12,583 |30,664 |1,538,689 |30,589,153 |134 |133,292 |-|-|-|Asia 
Ireland |1,733,755 |645 |9,481 |1,723,629 |13,083,449 |1,889 |2,606,161 |-|-|+409 |Europe 
Jordan |1,746,997 |1,868 |14,122 |1,731,007 |17,201,885 |1,371 |1,669,945 |-|-|-|Asia 
Georgia |1,855,289 |N/A |17,132 |N/A |16,920,079 |4,317 |4,263,340 |-|-|N/A |Asia 
Slovakia |1,877,383 |0 |21,221 |1,856,162 |7,448,789 |3,886 |1,364,199 |-|-|-|Europe 
Bangladesh |2,048,186 |N/A |29,488 |N/A |15,254,399 |176 |90,862 |-|-|N/A |Asia 
Hungary |2,229,987 |28,792 |49,040 |2,152,155 |11,394,556 |5,105 |1,186,160 |-|-|-|Europe 
Iraq |2,465,545 |673 |25,375 |2,439,497 |19,544,451 |602 |463,523 |-|-|-|Asia 
New Zealand |2,598,630 |4,338 |5,574 |2,588,718 |7,768,604 |1,138 |1,586,011 |-|-|-|Australia/Oceania 
Serbia |2,614,248 |517 |18,057 |2,595,674 |13,427,937 |2,087 |1,551,822 |-|-|-|Europe 
